population,income,averlight,places,b_diversity,b_rating,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainm,finance,food,health,nightclub,office,other,public_use,recreation,religious,residentia,restaurant,retail,service,transporta,insta_like,b_price,b_opening_23,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9
5,0,7,0,0,0,9,32,1,-117.595691,33.39089,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,4,1,2,2,2,1,0,3,1,2,0,0,2,0,0,0,0,1
400,51885,9,17,1.62,0,45,340,11,-117.606568,33.408877,la,0,0,0,0,0,1,2,0,1,7,0,1,0,0,0,0,4,1,2693,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,2,2,2,2,2,1,0,10,12,6,10,17,16,17,18,14,14,22,21,8,13,43,22,22,5,2,1,1,3,2,9
836,0,16,11,1.24,0,44,481,29,-117.622796,33.422327,la,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,1,20064,2,1,1,1,1,1,1,1,2,3,5,6,6,6,6,5,5,5,4,3,3,3,1,1,1,25,13,11,16,11,13,20,20,27,15,14,26,8,38,55,39,26,3,3,0,2,0,2,2
785,82188,26,51,2.17,0,52,283,55,-117.63365,33.435801,la,0,0,0,1,5,6,1,0,3,10,0,2,0,0,3,4,11,5,1223,1,2,2,2,2,2,2,4,7,11,16,20,21,21,21,20,19,19,14,8,4,3,2,2,2,18,8,0,9,16,28,17,14,10,20,16,16,3,20,24,10,12,1,2,3,0,0,1,3
766,59978,34,35,1.87,0,75,12,56,-117.628271,33.435829,la,0,1,0,0,1,2,1,0,2,14,0,1,0,0,1,4,7,1,10169,1,1,1,1,1,1,1,3,8,15,21,24,26,25,25,25,24,23,14,5,3,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,4,3,0,1,1,0,0,0,0,0,0
342,82188,29,21,1.84,0,46,13,69,-117.628303,33.440338,la,0,0,0,0,0,4,2,0,1,4,0,0,0,0,3,2,5,0,94,1.3,1,1,1,1,1,1,2,4,8,11,14,15,15,15,15,15,15,12,11,6,5,2,1,1,0,1,0,0,1,2,1,2,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0
190,100278,23,18,1.86,0,50,2189,70,-117.622925,33.440365,la,2,0,0,0,0,4,2,0,0,4,0,0,0,0,1,2,3,0,3826,1,0,0,0,0,0,2,2,3,6,9,11,12,10,10,10,10,10,9,7,5,4,2,0,0,97,64,75,94,95,125,99,105,98,93,104,132,51,128,144,137,126,18,14,8,7,7,16,35
92,47105,32,22,1.36,0,49,4,122,-117.596122,33.454025,la,0,0,0,0,0,0,4,0,0,10,0,0,1,0,0,2,5,0,139,0,0,0,0,0,0,1,1,1,6,9,10,10,10,10,10,9,8,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
303,61010,9,5,0.95,0,49,39,132,-117.671474,33.458153,la,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,526,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,1,1,1,0,1,0,3,1,4,1,0,4,3,6,4,0,0,0,0,0,0,0
227,126154,41,33,1.91,0,42,70,145,-117.601533,33.458509,la,0,0,1,0,1,3,10,0,3,6,0,0,0,0,1,2,6,0,2023,1.7,0,0,0,0,1,1,1,3,5,10,11,13,14,14,14,15,15,7,6,5,3,1,1,0,4,4,0,1,2,1,3,5,2,8,4,4,2,2,5,7,5,1,1,0,1,1,0,0
61,106442,20,10,1.36,0,16,84,160,-117.709171,33.462454,la,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,2,0,380,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,0,0,3,2,1,1,4,3,3,2,9,8,2,4,1,7,7,5,5,0,0,0,0,0,0,0
90,106442,28,10,1.47,0,54,24,161,-117.70379,33.462485,la,0,0,0,0,1,2,0,0,1,4,0,0,0,0,0,0,2,0,296,2,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,1,1,1,0,0,0,0,1,0,0,0,0,3,2,2,2,3,0,0,0,2,3,1,0,0,1,0,0,1,0,0
90,106442,34,16,1.59,0,65,1009,162,-117.69841,33.462515,la,0,0,0,0,1,5,0,0,0,5,0,0,0,0,1,2,2,0,744,2,0,0,0,0,0,1,1,2,4,5,7,10,10,10,10,10,10,8,6,6,4,2,0,0,35,28,29,33,47,47,70,62,45,50,52,46,8,60,65,51,46,8,6,2,2,2,6,10
62,106442,31,16,1.72,0,34,73,163,-117.69303,33.462545,la,0,0,0,0,0,5,0,0,0,4,1,1,1,0,0,1,3,0,2215,2,0,0,0,0,0,0,1,1,4,5,8,10,10,10,9,9,8,8,4,3,1,1,0,0,4,0,0,1,1,2,3,3,7,2,3,2,2,13,9,7,4,1,0,0,0,0,0,0
77,0,12,0,0,0,28,591,165,-117.682269,33.462604,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,15,16,19,24,29,26,33,40,29,30,11,31,55,36,33,8,2,1,1,0,1,4
308,106442,32,64,2.17,0,42,3,197,-117.709207,33.466964,la,2,2,1,0,6,8,7,0,7,20,0,1,0,0,1,3,4,2,9158,1.5,1,1,1,1,1,2,2,5,11,17,24,27,27,27,28,29,30,21,14,9,7,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
183,106442,43,43,2.06,0,58,11,198,-117.703827,33.466994,la,2,0,0,0,4,7,5,0,3,11,0,0,0,0,2,4,5,0,2917,1.8,2,2,2,2,3,4,5,8,15,21,23,24,24,24,23,21,22,18,12,10,8,5,2,2,1,1,0,2,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
276,106442,39,72,1.81,0,43,202,200,-117.693066,33.467054,la,2,0,0,0,3,6,3,1,3,37,0,3,0,0,3,3,6,2,324,1.5,3,3,3,3,3,6,10,15,19,26,34,33,33,32,31,32,31,30,20,15,12,5,5,4,9,7,6,12,12,7,6,6,10,12,10,9,3,18,12,6,16,1,0,0,0,1,0,3
1009,70186,17,2,0,0,60,140,204,-117.671544,33.467172,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,5,6,7,7,8,6,12,6,3,9,9,2,6,13,4,15,3,1,0,0,0,0,1
285,136094,14,6,1.1,0,24,204,219,-117.590834,33.467579,la,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,4,1,12,9,9,12,9,15,12,5,8,12,9,7,0,2,0,0,0,8,2
320,85875,17,30,1.55,0,30,199,235,-117.720006,33.471412,la,0,0,0,0,2,3,12,0,1,9,0,1,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,5,5,5,3,1,0,0,0,0,0,10,8,2,6,7,5,12,12,13,12,8,14,4,15,24,9,14,0,1,0,0,0,0,0
787,98917,21,29,1.69,0,49,262,236,-117.714625,33.471443,la,0,0,0,0,1,0,5,0,5,11,0,0,0,0,0,2,3,2,125,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,8,8,4,6,11,14,7,16,14,11,12,16,3,24,22,21,15,1,0,0,1,1,0,2
1040,61520,33,41,1.93,0,71,988,239,-117.698482,33.471534,la,2,1,1,0,5,3,7,0,4,13,0,0,0,0,0,0,5,0,3614,1,0,0,0,0,0,0,1,2,10,17,18,20,20,20,20,20,19,8,5,4,4,1,0,0,39,49,35,59,49,64,43,55,55,43,48,56,16,54,55,53,47,11,5,4,3,3,7,19
244,0,14,2,0,0,8,734,275,-117.725424,33.47589,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,60,3,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,28,11,22,22,30,40,29,42,36,34,36,36,10,43,49,37,29,7,7,1,0,2,8,10
503,85875,20,25,1.6,0,45,49,276,-117.720043,33.475921,la,1,0,0,0,0,2,0,1,11,5,0,0,0,0,3,0,2,0,22971,3.5,1,1,1,1,1,1,2,3,8,11,12,12,13,13,13,13,13,8,8,6,4,3,3,1,0,2,0,3,4,3,3,2,0,2,3,1,1,3,10,2,2,2,0,0,0,0,0,0
597,61422,18,5,1.05,0,46,10,277,-117.714662,33.475952,la,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,7925,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0
266,88454,28,26,1.51,0,35,254,317,-117.72008,33.480431,la,0,0,1,0,1,2,0,0,10,9,0,0,0,0,0,0,2,1,1433,0,0,0,0,0,0,0,1,2,4,9,10,11,11,11,11,11,9,9,4,2,1,0,0,0,12,6,6,6,9,16,13,18,14,17,17,13,0,20,21,21,13,2,5,0,0,1,0,0
734,116856,15,17,1.43,0,50,19,320,-117.703936,33.480523,la,0,0,2,1,0,0,2,0,0,9,0,0,0,0,0,0,1,2,110,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0
277,136094,8,6,1.56,0,29,6,342,-117.585544,33.481133,la,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,262,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
262,0,7,0,0,0,19,68,358,-117.730881,33.484878,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,2,3,6,6,4,2,4,0,5,7,9,5,0,1,0,0,0,0,0
279,85875,24,30,1.7,0,41,8,359,-117.725499,33.484909,la,0,0,0,0,4,4,3,0,4,12,0,0,0,0,0,1,2,0,145,2,0,0,0,0,0,0,0,1,2,5,7,8,8,8,8,8,9,5,3,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
494,88454,31,16,1.81,0,16,647,360,-117.720118,33.48494,la,0,0,0,0,3,3,1,0,0,4,0,0,0,0,1,3,1,0,24528,2,1,1,1,1,1,1,2,3,3,3,4,5,4,4,4,4,4,3,2,2,1,1,1,1,24,20,10,23,29,36,45,44,36,52,48,21,20,40,54,41,37,12,4,2,3,3,4,7
110,23962,25,41,1.39,0,70,84,369,-117.671683,33.48521,la,0,0,0,0,1,0,4,0,1,20,0,0,1,0,0,1,12,1,8,2,1,1,1,1,1,3,3,7,10,15,18,18,18,17,17,18,16,13,5,3,3,2,2,1,1,3,1,4,1,0,1,1,3,0,3,2,6,3,5,5,4,8,2,1,0,0,0,0
399,0,9,20,1.49,0,47,6,402,-117.730919,33.489387,la,0,0,0,0,2,0,1,0,7,7,0,0,0,0,1,0,2,0,53,2,0,0,0,0,0,0,0,3,5,8,8,8,8,7,7,7,8,5,4,2,2,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
304,48750,21,64,1.92,0,43,1,403,-117.725537,33.489418,la,1,0,2,0,5,3,15,0,6,22,0,0,1,0,1,5,3,0,1229,1.5,3,3,3,3,3,5,6,16,23,35,37,38,39,39,39,39,35,23,15,13,10,10,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,48909,20,0,0,0,47,7,412,-117.677099,33.48969,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0
272,0,7,55,1.7,0,39,7,445,-117.736339,33.493865,la,1,0,1,1,6,0,12,0,16,15,0,0,0,0,0,1,2,0,513,0,2,2,2,2,2,2,2,7,17,19,19,19,19,19,19,19,15,10,9,8,7,5,2,2,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,178417,41,15,1.59,0,51,12,451,-117.704046,33.494051,la,0,0,0,0,3,4,2,0,3,3,0,0,0,0,0,0,0,0,5,1.3,1,1,1,1,1,3,4,6,6,8,9,9,8,8,8,7,7,5,5,5,5,4,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0
