population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
52,0,4,0,0.0,11,19,0,-117.601067,33.390838,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,7,0,0.0,9,32,1,-117.595691,33.390864,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,51885,5,6,1.24,37,3,2,-117.601098,33.395348,la,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,7,3,0.0,50,0,3,-117.595722,33.395374,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,2,0,0.0,6,0,4,-117.606505,33.399831,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,51885,7,17,1.65,56,0,5,-117.601129,33.399858,la,0,0,0,0,1,0,3,0,3,6,0,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2
200,0,9,17,1.73,49,0,6,-117.595752,33.399884,la,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,1,3,6,1.0,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,3,6
163,51885,4,1,0.0,31,0,7,-117.606537,33.404341,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,51885,9,27,1.9,58,0,8,-117.60116,33.404367,la,0,1,1,0,3,0,1,0,2,6,0,0,0,0,0,8,1,4,0.0,0,0,0,0,0,0,1,2,2,4,4,5,5,5,5,5,5,3,2,1,1,1,0,0,7
500,79200,10,23,1.34,43,0,9,-117.595783,33.404393,la,0,0,0,0,1,1,0,0,1,11,0,0,0,0,0,2,7,0,0.0,2,2,2,2,2,2,2,2,2,8,9,9,9,9,9,9,8,4,3,3,3,3,2,2,11
161,0,4,3,0.64,20,0,10,-117.611945,33.408824,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,51885,9,17,1.62,45,340,11,-117.606568,33.408851,la,0,0,0,0,0,1,2,0,1,7,0,1,0,0,0,0,4,1,0.0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,2,2,2,2,2,1,0,4
531,79200,13,17,1.87,50,0,12,-117.601191,33.408877,la,0,0,0,0,0,1,0,0,1,5,0,1,0,0,1,2,2,4,2.0,1,1,1,1,1,1,1,2,2,3,4,4,4,4,3,3,3,2,1,1,1,1,1,1,5
585,79200,10,5,0.67,19,0,13,-117.595814,33.408903,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,0.0,12,0,14,-117.590437,33.408929,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,4,0,0.0,9,0,15,-117.617354,33.413307,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,111442,8,1,0.0,49,0,16,-117.611977,33.413334,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,78875,16,2,0.69,58,0,17,-117.606599,33.41336,la,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,2
473,88913,19,13,1.78,31,0,18,-117.601222,33.413387,la,0,0,0,0,1,1,1,0,0,3,0,0,0,0,2,0,4,1,1.5,3,3,3,3,3,3,3,4,5,6,7,7,7,7,7,7,7,5,4,4,4,4,3,3,9
497,88913,11,17,1.3,35,0,19,-117.595845,33.413412,la,0,0,0,0,0,1,0,0,2,8,0,1,0,0,0,0,5,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
56,0,3,0,0.0,11,0,20,-117.590467,33.413438,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,6,1,0.0,5,0,21,-117.622763,33.41779,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,111442,9,0,0.0,48,0,22,-117.617386,33.417817,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,159417,12,0,0.0,61,0,23,-117.612008,33.417844,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,78875,18,9,1.74,67,0,24,-117.606631,33.41787,la,0,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,2,0,1.67,1,1,1,1,1,1,1,3,4,5,5,7,7,7,6,6,6,4,4,4,3,2,1,1,7
379,88913,18,7,0.96,48,0,25,-117.601253,33.417896,la,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0.0,1,1,1,1,1,1,3,4,6,6,6,6,5,5,4,4,4,3,2,2,2,2,1,1,6
260,101500,11,11,0.6,32,0,26,-117.595875,33.417922,la,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,2
117,0,3,4,0.56,17,0,27,-117.590498,33.417948,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,0,16,11,1.24,44,481,29,-117.622796,33.4223,la,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,1,2.0,1,1,1,1,1,1,1,2,3,5,6,7,7,7,6,6,5,4,3,3,3,1,1,1,7
