Code,GeoName,Pop1,Pop2,Density1,Density2,LandArea,GMP2013,class
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA","18,328,913",20092883,"31,683.6","31,251.4","6,686.9",1377989,1
31100,"Los Angeles-Long Beach-Santa Ana, CA","12,365,627",13262220,"12,442.0","12,113.9","4,848.5",775967,1
16980,"Chicago-Joliet-Naperville, IL-IN-WI","9,098,316",9554598,"9,829.6","8,613.4","7,196.8",550793,1
19100,"Dallas-Fort Worth-Arlington, TX","5,161,544",6954330,"4,295.2","3,909.3","8,927.5",413627,2
26420,"Houston-Sugar Land-Baytown, TX","4,715,407",6490180,"4,258.4","4,109.6","8,827.5",456177,2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,687,147",6051170,"8,064.3","7,773.2","4,602.1",358091,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","4,796,183",6033737,"6,251.8","6,388.1","5,598.3",437085,2
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","5,007,564",5929819,"7,236.6","7,395.3","5,077.3",263115,4
12060,"Atlanta-Sandy Springs-Marietta, GA","4,247,981",5614323,"2,213.3","2,173.0","8,338.5",288175,2
14460,"Boston-Cambridge-Quincy, MA-NH","4,391,344",4732161,"7,912.2","7,980.1","3,487.4",349652,1
41860,"San Francisco-Oakland-Fremont, CA","4,123,740",4594060,"12,438.4","12,144.9","2,470.5",356081,1
38060,"Phoenix-Mesa-Glendale, AZ","3,251,876",4489109,"5,028.4","4,394.9","14,565.8",197079,2
40140,"Riverside-San Bernardino-Ontario, CA","3,254,821",4441890,"4,060.4","4,299.6","27,263.4",118693,0
19820,"Detroit-Warren-Livonia, MI","4,452,557",4296611,"4,534.2","3,800.4","3,888.4",213258,3
42660,"Seattle-Tacoma-Bellevue, WA","3,043,878",3671478,"4,474.3","4,721.6","5,872.3",269679,4
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","2,968,806",3495176,"3,617.3","3,383.4","6,027.2",213466,4
41740,"San Diego-Carlsbad-San Marcos, CA","2,813,833",3263431,"7,094.4","6,920.5","4,206.6",186108,4
45300,"Tampa-St. Petersburg-Clearwater, FL","2,395,997",2915582,"3,444.7","3,323.0","2,513.4",115263,4
41180,"St. Louis, MO-IL","2,698,687",2806207,"3,015.9","2,742.5","8,623.2",136519,3
12580,"Baltimore-Towson, MD","2,552,994",2785874,"5,890.9","5,435.7","2,601.5",158746,0
19740,"Denver-Aurora-Broomfield, CO","2,179,240",2754258,"5,076.6","4,803.7","8,346.1",166150,2
16740,"Charlotte-Gastonia-Rock Hill, NC-SC","1,499,300",2380314,"1,738.1","1,881.3","3,085.2",130318,5
38300,"Pittsburgh, PA","2,431,087",2355968,"3,290.0","2,990.8","5,281.5",122891,3
38900,"Portland-Vancouver-Hillsboro, OR-WA","1,927,881",2348247,"3,994.4","4,372.6","6,683.7",159266,4
41700,"San Antonio-New Braunfels, TX","1,711,703",2328652,"3,570.4","3,475.4","7,312.6",89463,4
36740,"Orlando-Kissimmee-Sanford, FL","1,644,561",2321418,"2,856.8","2,774.6","3,478.5",103992,5
40900,"Sacramento--Arden-Arcade--Roseville, CA","1,796,857",2244397,"4,584.3","4,538.5","5,094.2",101402,4
17140,"Cincinnati-Middletown, OH-KY-IN","2,009,632",2149449,"2,864.8","2,563.6","4,391.9",111279,3
28140,"Kansas City, MO-KS","1,836,038",2071133,"2,505.8","2,326.1","7,827.3",110278,4
29820,"Las Vegas-Paradise, NV","1,375,765",2069681,"6,781.8","6,527.2","7,891.4",87359,5
17460,"Cleveland-Elyria-Mentor, OH","2,148,143",2063598,"4,581.7","3,808.4","1,997.3",114448,3
18140,"Columbus, OH","1,612,694",1994536,"3,416.4","3,186.0","3,967.2",107191,0
26900,"Indianapolis-Carmel, IN","1,607,500",1971274,"2,493.0","2,285.6","3,854.5",117312,4
41940,"San Jose-Sunnyvale-Santa Clara, CA","1,735,819",1952872,"8,300.4","8,417.7","2,678.8",192184,4
12420,"Austin-Round Rock-San Marcos, TX","1,249,763",1943299,"3,259.2","3,131.5","4,219.9",98126,5
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,311,789",1792649,"1,660.6","1,695.3","5,688.7",95124,4
47260,"Virginia Beach-Norfolk-Newport News, VA-NC","1,576,370",1716624,"3,589.3","4,084.1","2,629.6",83162,0
39300,"Providence-New Bedford-Fall River, RI-MA","1,582,997",1609367,"4,890.8","4,763.7","1,586.9",68975,3
33340,"Milwaukee-Waukesha-West Allis, WI","1,500,741",1572245,"5,454.8","5,257.6","1,454.8",89052,3
27260,"Jacksonville, FL","1,122,750",1419127,"2,375.5","2,158.7","3,201.1",58229,0
32820,"Memphis, TN-MS-AR","1,205,204",1343230,"2,723.5","2,372.3","4,577.9",63081,0
36420,"Oklahoma City, OK","1,095,421",1336767,"2,588.7","2,568.8","5,511.6",65246,0
31140,"Louisville/Jefferson County, KY-IN","1,161,975",1269702,"2,618.8","2,477.3","4,110.9",60649,0
40060,"Richmond, VA","1,096,957",1260029,"2,159.1","2,175.7","5,685.0",64155,0
35380,"New Orleans-Metairie-Kenner, LA","1,337,000",1251849,"6,118.9","4,370.2","2,960.2",70665,3
39580,"Raleigh-Cary, NC","797,071",1242974,"1,694.1","1,850.1","2,118.2",62758,5
