cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
2239,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2245,0,0,0,0,1,0,0,0,2,0,0,0,0,0
3765,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5626,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5686,0,0,0,0,0,0,0,0,1,1,1,0,0,0
6580,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6652,0,1,2,0,3,1,3,0,19,0,4,1,5,2
6836,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7027,0,1,1,0,1,0,0,0,2,0,0,0,0,1
7245,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8188,0,1,3,0,1,0,4,0,10,0,2,0,2,1
8226,0,1,1,0,0,0,1,0,15,3,1,1,1,0
8617,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9565,0,0,1,0,2,0,0,0,1,0,0,0,0,0
10127,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10576,0,0,1,0,0,0,0,0,8,0,1,0,0,0
11249,0,0,3,0,4,0,0,0,12,0,1,0,3,0
15562,0,1,0,3,3,6,2,3,1,5,1,7,1,0
16750,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16779,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16987,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17592,1,0,0,0,0,8,1,0,2,2,1,0,0,0
18244,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19299,0,0,0,0,6,0,0,1,31,0,9,0,1,0
19746,0,0,0,0,1,0,0,0,3,0,2,0,0,0
20211,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20496,3,0,0,0,2,0,0,1,2,2,2,1,0,2
20500,0,0,1,0,0,0,0,0,2,0,1,1,0,0
20896,0,0,0,0,1,1,0,0,0,0,0,1,0,0
20996,0,0,0,1,0,0,0,0,1,0,0,0,1,1
22592,0,0,1,0,0,0,0,0,3,0,0,0,0,0
22762,0,0,0,0,2,0,0,1,0,0,0,0,0,0
23130,4,1,0,0,0,15,1,2,1,4,2,2,0,0
23131,0,0,1,0,2,0,0,1,0,0,0,0,0,0
23132,1,0,0,0,5,0,0,0,0,0,0,0,0,0
23258,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23355,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24479,1,0,0,0,0,0,0,1,0,0,1,0,1,1
24652,1,1,0,0,3,2,0,2,3,1,0,2,9,0
24653,11,1,3,0,2,1,0,5,10,0,2,2,7,1
24845,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25049,0,0,2,0,0,0,0,0,25,2,0,0,0,0
25212,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25271,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26066,0,0,0,0,0,0,0,0,1,0,0,0,0,0
