"name","Land_Area","MAX","Average_Sum_of_Light","Sum_of_Light","Population_in_2000","Population_2014","Population_Change","Density_2000","Density_2014","Land_Area","GMP_2013","Sum_of_Light_Per_Capita","Class"
Atlanta,22485752743,268.7,6.05,775243,4247981,5614323,1366342,2213.3,2173,8338.5,288175,2.690181313,2
Boston,9032948795,200.34,7.36,443674,4391344,4732161,340817,7912.2,7980.1,3487.4,349652,1.268901651,1
Chicago,18639937202,410.67,13.55,1596915,9098316,9554598,456282,9829.6,8613.4,7196.8,550793,2.899301552,1
Cleveland,5174453678,344.33,12.03,389613,2148143,2063598,-84545,4581.7,3808.4,1997.3,114448,3.404279673,3
Denver,21615568416,304.95,3.1,407385,2179240,2754258,575018,5076.6,4803.7,8346.1,166150,2.451910924,2
Houston,21393090794,986.23,9.81,1177516,4715407,6490180,1774773,4258.4,4109.6,8827.5,456177,2.581269989,2
Las Vegas,20437567839,2784.16,3.77,453510,1375765,2069681,693916,6781.8,6527.2,7891.4,87359,5.191336897,5
Los Angeles,12558109704,385.33,14.88,1064008,12365627,13262220,896593,12442,12113.9,4848.5,775967,1.371202641,1
Milwaukee,3767862880,223.12,10.53,259387,1500741,1572245,71504,5454.8,5257.6,1454.8,89052,2.912758838,3
Nashville,16321406859,300.05,3.58,340315,1311789,1792649,480860,1660.6,1695.3,5688.7,95124,3.577593457,4
New York,21479624680,430.89,9.41,1360196,18328913,20092883,1763970,31683.6,31251.4,6686.9,1377989,0.987087705,1
Orlando,9011387964,240.05,6.19,341311,1644561,2321418,676857,2856.8,2774.6,3478.5,103992,3.282089007,5
Philadelphia,11919740470,273.47,8.73,653505,5687147,6051170,364023,8064.3,7773.2,4602.1,358091,1.824969072,1
Phoenix,37723390850,289.85,2.98,627892,3251876,4489109,1237233,5028.4,4394.9,14565.8,197079,3.185991404,2
Pittsburg,13678951234,260.07,3.82,322937,2431087,2355968,-75119,3290,2990.8,5281.5,122891,2.627832795,3
Port St. Lucie,2888884324,127.13,3.17,55833,319426,523552,204126,1687.7,1921,1115.4,25897,2.155964011,5
Portland,17311274657,161.45,1.9,223418,1927881,2348247,420366,3994.4,4372.6,6683.7,159266,1.402797835,4
Raleigh,5485830159,189.53,5.45,174051,797071,1242974,445903,1694.1,1850.1,2118.2,62758,2.773367539,5
Rochester,8459596944,160.65,2.79,153651,1037831,1083393,45562,3096.9,2909,2928.1,48966,3.137912021,3
Salt Lake City,19902220729,291.16,1.38,176098,968858,1153340,184482,4738.4,4563.5,9555.3,70719,2.49010874,4
San Jose,6938374677,147.6,3.16,128330,1735819,1952872,217053,8300.4,8417.7,2678.8,192184,0.667745494,4
Washington,16177768536,389.4,6.75,669307,4796183,6033737,1237554,6251.8,6388.1,5598.3,437085,1.531297116,2
Youngstown,4409152159,210.48,4.21,117217,602964,553263,-49701,1841.7,1569.8,1702.5,17590,6.663843093,3
