name,group,value,density,gmp,popChange,gridorder
Chicago,9,30.54,8613.4,550793,456282,9
Denver,9,45.48,8346.1,166150,575018,9
Washington,9,55.2,6388.1,437085,1237554,9
Pittsburg,9,32.88,2990.8,122891,-75119,9
Portland,9,25.27,1471.1,11046,35984,9
Las Vegas,9,80.78,6527.2,87359,693916,9
Los Angeles,9,59.65,12113.9,775967,896593,9
Milwaukee,9,39.64,5257.6,89052,71504,9
San Jose,9,44.75,8417.7,192184,217053,9
Orlando,9,42.21,2774.6,103992,676857,9
Chicago,8,19.49,8613.4,550793,456282,8
Denver,8,25.86,8346.1,166150,575018,8
Washington,8,33.02,6388.1,437085,1237554,8
Pittsburg,8,16.97,2990.8,122891,-75119,8
Portland,8,14.39,1471.1,11046,35984,8
Las Vegas,8,42.95,6527.2,87359,693916,8
Los Angeles,8,33.11,12113.9,775967,896593,8
Milwaukee,8,22.03,5257.6,89052,71504,8
San Jose,8,23.08,8417.7,192184,217053,8
Orlando,8,26.24,2774.6,103992,676857,8
Chicago,7,10.01,8613.4,550793,456282,5
Denver,7,20.23,8346.1,166150,575018,5
Washington,7,18.34,6388.1,437085,1237554,5
Pittsburg,7,9.99,2990.8,122891,-75119,5
Portland,7,7.21,1471.1,11046,35984,5
Las Vegas,7,29.18,6527.2,87359,693916,5
Los Angeles,7,21.85,12113.9,775967,896593,5
Milwaukee,7,12.86,5257.6,89052,71504,5
San Jose,7,13.12,8417.7,192184,217053,5
Orlando,7,18.14,2774.6,103992,676857,5
Chicago,6,26.15,8613.4,550793,456282,7
Denver,6,58.62,8346.1,166150,575018,7
Washington,6,70.31,6388.1,437085,1237554,7
Pittsburg,6,27.45,2990.8,122891,-75119,7
Portland,6,26.5,1471.1,11046,35984,7
Las Vegas,6,78.2,6527.2,87359,693916,7
Los Angeles,6,62.14,12113.9,775967,896593,7
Milwaukee,6,53.95,5257.6,89052,71504,7
San Jose,6,43.89,8417.7,192184,217053,7
Orlando,6,51.41,2774.6,103992,676857,7
Chicago,5,25.12,8613.4,550793,456282,6
Denver,5,36.78,8346.1,166150,575018,6
Washington,5,41.81,6388.1,437085,1237554,6
Pittsburg,5,16.94,2990.8,122891,-75119,6
Portland,5,18.29,1471.1,11046,35984,6
Las Vegas,5,54.71,6527.2,87359,693916,6
Los Angeles,5,43.65,12113.9,775967,896593,6
Milwaukee,5,40.49,5257.6,89052,71504,6
San Jose,5,26.34,8417.7,192184,217053,6
Orlando,5,33.25,2774.6,103992,676857,6
Chicago,4,14.71,8613.4,550793,456282,4
Denver,4,27.54,8346.1,166150,575018,4
Washington,4,20.56,6388.1,437085,1237554,4
Pittsburg,4,10,2990.8,122891,-75119,4
Portland,4,10.72,1471.1,11046,35984,4
Las Vegas,4,46.25,6527.2,87359,693916,4
Los Angeles,4,33.54,12113.9,775967,896593,4
Milwaukee,4,28.92,5257.6,89052,71504,4
San Jose,4,15.14,8417.7,192184,217053,4
Orlando,4,22.39,2774.6,103992,676857,4
Chicago,3,71.73,8613.4,550793,456282,3
Denver,3,69.11,8346.1,166150,575018,3
Washington,3,73.74,6388.1,437085,1237554,3
Pittsburg,3,37.81,2990.8,122891,-75119,3
Portland,3,37.02,1471.1,11046,35984,3
Las Vegas,3,173.71,6527.2,87359,693916,3
Los Angeles,3,73.61,12113.9,775967,896593,3
Milwaukee,3,73.9,5257.6,89052,71504,3
San Jose,3,46.63,8417.7,192184,217053,3
Orlando,3,50.35,2774.6,103992,676857,3
Chicago,2,50.38,8613.4,550793,456282,2
Denver,2,52.46,8346.1,166150,575018,2
Washington,2,53.8,6388.1,437085,1237554,2
Pittsburg,2,24.75,2990.8,122891,-75119,2
Portland,2,25.89,1471.1,11046,35984,2
Las Vegas,2,90.69,6527.2,87359,693916,2
Los Angeles,2,53.53,12113.9,775967,896593,2
Milwaukee,2,60.69,5257.6,89052,71504,2
San Jose,2,31.49,8417.7,192184,217053,2
Orlando,2,39.43,2774.6,103992,676857,2
Chicago,1,24.3,8613.4,550793,456282,1
Washington,1,32.21,6388.1,437085,1237554,1
Pittsburg,1,14.94,2990.8,122891,-75119,1
Portland,1,19.01,1471.1,11046,35984,1
Las Vegas,1,48.24,6527.2,87359,693916,1
Los Angeles,1,41.39,12113.9,775967,896593,1
Milwaukee,1,49.59,5257.6,89052,71504,1
San Jose,1,20.69,8417.7,192184,217053,1
Orlando,1,28.54,2774.6,103992,676857,1
